town,2room,3room,4room
Ang Mo Kio,500,800,0
Balestier,0,700,0
Bishan,0,800,0
Bedok,500,700,0
Bukit Batok,500,700,0
Bukit Merah,0,700,1500
Lengkok Bahru,0,700,0
Bukit Ho Swee,0,900,1500
Bukit Purmei,0,900,1500
Telok Blangah,0,900,1500
Tiong Bahru,0,900,1500
Petir Road,0,600,0
Choa Chu Kang,400,600,0
Teck Whye,400,600,0
Jalan Kukoh,550,800,0
Jalan Berseh,550,800,0
Chander Road,0,900,0
Waterloo Street,0,900,0
Clementi,400,900,0
West Coast,400,900,0
Eunos Cres,0,600,0
Old Airport Road,0,600,0
Cassia Cres,0,600,0
Haig Road,0,700,0
99 Old Airport Road,0,700,0
Hougang,500,700,0
Buangkok Crescent,500,700,0
Jurong East,0,700,0
Boon Lay,500,700,0
Corporation,500,700,0
Ho Ching,500,700,0
Jurong West,500,700,0
Yuan Ching,500,700,0
Geylang Bahru,550,800,0
Geylang,550,800,0
French Road,550,800,0
Jalan Bahagia,550,800,0
Central Area,550,800,0
Kallang Bahru,550,800,0
Kallang,550,800,0
Maude Rd,550,800,0
King George's Avenue,0,0,0
Owen Road,0,0,0
Upper Boon Keng,0,0,0
Sengkang,400,0,0
Serangoon,0,800,0
Marine Parade,550,800,0
Dover,550,800,0
Commonwealth,550,800,0
Holland,550,800,0
Queenstown,550,800,0
Stirling,550,800,0
Tampines,500,700,0
Toa Payoh,550,800,0
Upper Aljunied,550,800,0
Punggol,500,0,0
Canberra,400,0,0
Sembawang,400,0,0
Marsiling,400,600,0
Woodlands,400,600,800
Yishun,500,700,0
